Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2023,2023,7008,August,LCU,1140245,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2023,2023,7009,September,LCU,1179380,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2023,2023,7010,October,LCU,1189595,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2023,2023,7011,November,LCU,1248166.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2023,2023,7012,December,LCU,1302157.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1991,1991,7021,Annual value,LCU,23675,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1992,1992,7021,Annual value,LCU,20175,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1993,1993,7021,Annual value,LCU,20350,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1994,1994,7021,Annual value,LCU,21350,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1995,1995,7021,Annual value,LCU,23400,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1996,1996,7021,Annual value,LCU,25450,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1997,1997,7021,Annual value,LCU,25125,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1998,1998,7021,Annual value,LCU,21725,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,1999,1999,7021,Annual value,LCU,25300,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2000,2000,7021,Annual value,LCU,27500,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2002,2002,7021,Annual value,LCU,18625,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2003,2003,7021,Annual value,LCU,36175,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2004,2004,7021,Annual value,LCU,36380,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2005,2005,7021,Annual value,LCU,37000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2006,2006,7021,Annual value,LCU,38000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2007,2007,7021,Annual value,LCU,40000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2008,2008,7021,Annual value,LCU,42000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2009,2009,7021,Annual value,LCU,45000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01341,Apples,2010,2010,7021,Annual value,LCU,48000,A,Official figure
